Company,Total Alignment Score
E ONSE,5.5872345
MTU,5.2468557
BASF SE,5.1848474
Zalando SE,5.0515924
AkzoNobelNV,4.9569516
Beiersdorf AG,4.906583
Siemens AG,4.7987385
Heidelberg Cement AG,4.735312
Sartorius AG,4.548995
Deutsche Post AG,4.44768
RWE AG,4.437508
Muenchener Rueckversicherungs Gesellschaft AGin Muenchen,4.3684373
Allianz SE,4.33683
SAP,4.3111544
Deutsche Telekom AG,4.285377
Linde,4.238909
Siemens Energy,4.171651
Covestro AG,4.164076
Deutsche Bank AG,4.1484404
Vonovia SE,4.1076684
Symrise AG,4.103219
Continental AG,4.0952554
Deutsche Boerse AG,4.007366
Fresenius,3.9504178
Infineon Technologies AG,3.9028084
Brenntag,3.8634963
Hannover R AG,3.7948956
BMW,3.790104
Daimler AG,3.694158
Henkel,3.5730624
Bayer AG,3.5183978
Puma SE,3.5045714
Vonovia,3.4282136
Volkswagen AG,3.1862416
Airbus SE,3.1695368
Porsche,2.9722044
Adidas AG,2.7031546
Merck KGaA,2.615659
Qiagen,2.5850067
Siemens Healthineers AG,2.0900397
